"コード","銘柄名","市場","現在値","前日比(%)"
"1717","明豊ファシリティワークス","東S","856","-3.0(-0.35%)"
"1718","美樹工業","東S","5120","-50.0(-0.97%)"
"1719","安藤・間","東P","1188","-10.0(-0.83%)"
"1720","東急建設","東P","806","-20.0(-2.42%)"
"1721","コムシスＨＬＤＧ","東P","3589.0","-32.0(-0.88%)"
"1723","日本電技","東S","5930","-100.0(-1.66%)"
"1724","シンクレイヤ","東S","765","-15.0(-1.92%)"
"1726","ビーアールＨＬＤＧ","東P","365","-7.0(-1.88%)"
"1730","麻生フオームクリート","東S","642","+43.0(+7.18%)"
"1736","オーテック","東S","3700","-100.0(-2.63%)"
"1739","メルディアＤＣ","東G","1091","+0.0(+0.00%)"
"173A","ハンモック","東G","1772","-87.0(-4.68%)"
"1743","コーアツ工業","東S","1334","-2.0(-0.15%)"
"1757","創建エース","東S","34","+1.0(+3.03%)"
"1758","太洋基礎工業","東S","2050","-1.0(-0.05%)"
"175A","Ｗｉｌｌ　Ｓｍａｒｔ","東G","1663","+0.0(+0.00%)"
"1762","高松コンストラクショングループ","東P","2603","-50.0(-1.88%)"
"1764","工藤建設","東S","2740","+0.0(+0.00%)"
"1766","東建コーポレーション","東P","10750","-100.0(-0.92%)"
"1768","ソネック","東S","927","-1.0(-0.11%)"
"1770","藤田エンジニアリング","東S","1454","-4.0(-0.27%)"
"1773","ワイ・ティー・エル","東P","79","-3.0(-3.66%)"
"1775","富士古河Ｅ＆Ｃ","東S","5820","-70.0(-1.19%)"
"1776","三井住建道路","東S","1067","-28.0(-2.56%)"
"1780","ヤマウラ","東P","1359","-40.0(-2.86%)"
"1783","ｆａｎｔａｓｉｓｔａ","東S","44","-1.0(-2.22%)"
"1786","オリエンタル白石","東P","377","-6.0(-1.57%)"
"1787","ナカボーテック","東S","4920","-60.0(-1.20%)"
"1788","三東工業社","東S","-","- (-%)"
"1789","ＥＴＳ　ＨＬＤＧ","東S","697","-40.0(-5.43%)"
"1793","大本組","東S","-","- (-%)"
"1795","マサル","東S","3520","+0.0(+0.00%)"
"1798","守谷商会","東S","3780","-20.0(-0.53%)"
"1799","第一建設工業","東S","1721","-56.0(-3.15%)"
"1801","大成建設","東P","5287.0","-182.0(-3.33%)"
"1802","大林組","東P","1696.5","-38.0(-2.19%)"
"1803","清水建設","東P","891.4","+7.0(+0.79%)"
"1805","飛島建設","東P","1351","-37.0(-2.67%)"
"1807","佐藤渡辺","東S","3690","-30.0(-0.81%)"
"1808","長谷工コーポレーション","東P","1843.0","-40.5(-2.15%)"
"1810","松井建設","東S","870","-32.0(-3.55%)"
"1811","錢高組","東S","4015","-115.0(-2.78%)"
"1812","鹿島建設","東P","2913.5","-123.5(-4.07%)"
"1813","不動テトラ","東P","2065","-42.0(-1.99%)"
"1814","大末建設","東P","1580","-49.0(-3.01%)"
"1815","鉄建建設","東P","2682","-93.0(-3.35%)"
"1820","西松建設","東P","4473.0","-113.0(-2.46%)"
"1821","三井住友建設","東P","405","-8.0(-1.94%)"
"1822","大豊建設","東S","3220","-40.0(-1.23%)"
"1826","佐田建設","東S","696","-7.0(-1.00%)"
"1827","ナカノフドー建設","東S","601","-42.0(-6.53%)"
"1828","田辺工業","東S","1335","-25.0(-1.84%)"
"1833","奥村組","東P","4825","-50.0(-1.03%)"
"1835","東鉄工業","東P","3040","-105.0(-3.34%)"
"1840","土屋ＨＬＤＧ","東S","235","-7.0(-2.89%)"
"1841","サンユー建設","東S","996","-1.0(-0.10%)"
"1844","大盛工業","東S","239","-3.0(-1.24%)"
"1847","イチケン","東S","2359","-32.0(-1.34%)"
"1848","富士ピー・エス","東S","450","-2.0(-0.44%)"
"1850","南海辰村建設","東S","326","-3.0(-0.91%)"
"1852","淺沼組","東P","3685","-80.0(-2.12%)"
"1853","森組","東S","336","-3.0(-0.88%)"
"1860","戸田建設","東P","995.4","-12.6(-1.25%)"
"1861","熊谷組","東P","4095","-155.0(-3.65%)"
"1866","北野建設","東S","3280","-135.0(-3.95%)"
"1867","植木組","東S","1568","-38.0(-2.37%)"
"1870","矢作建設工業","東P","1424","-29.0(-2.00%)"
"1871","ピーエス三菱","東P","989","-28.0(-2.75%)"
"1873","日本ハウスＨＬＤＧ","東P","326","-7.0(-2.10%)"
"1878","大東建託","東P","16815.0","+15.0(+0.09%)"
"1879","新日本建設","東P","1572","-43.0(-2.66%)"
"1882","東亜道路工業","東P","1281","-5.0(-0.39%)"
"1884","日本道路","東P","1827","-62.0(-3.28%)"
"1885","東亜建設工業","東P","1085","-46.0(-4.07%)"
"1887","日本国土開発","東P","519","-8.0(-1.52%)"
"1888","若築建設","東P","3475","-150.0(-4.14%)"
"1890","東洋建設","東P","1229","-27.0(-2.15%)"
"1893","五洋建設","東P","778.3","-2.8(-0.36%)"
"1897","金下建設","東S","2820","+10.0(+0.36%)"
"1898","世紀東急工業","東P","1798","-20.0(-1.10%)"
"1899","福田組","東P","5330","-120.0(-2.20%)"
"1904","大成温調","東S","4275","-85.0(-1.95%)"
"1905","テノックス","東S","-","- (-%)"
"1909","日本ドライケミカル","東S","2498","-83.0(-3.22%)"
"1911","住友林業","東P","4595.0","-207.0(-4.31%)"
"1914","日本基礎技術","東S","491","-9.0(-1.80%)"
"1921","巴コーポレーション","東S","700","+6.0(+0.86%)"
"1925","大和ハウス工業","東P","4272.0","-101.0(-2.31%)"
"1926","ライト工業","東P","2058","-19.0(-0.91%)"
"1928","積水ハウス","東P","3426.0","-121.0(-3.41%)"
"1929","日特建設","東P","1141","-17.0(-1.47%)"
"1930","北陸電気工事","東P","1211","-33.0(-2.65%)"
"1934","ユアテック","東P","1482","-15.0(-1.00%)"
"1938","日本リーテック","東P","1275","-47.0(-3.56%)"
"1939","四電工","東P","3970","+0.0(+0.00%)"
"1941","中電工","東P","3345","-100.0(-2.90%)"
"1942","関電工","東P","1869","-21.0(-1.11%)"
"1944","きんでん","東P","3037.0","-26.0(-0.85%)"
"1945","東京エネシス","東P","1331","-59.0(-4.24%)"
"1946","トーエネック","東P","5780","+60.0(+1.05%)"
"1948","弘電社","東S","1256","-38.0(-2.94%)"
"1949","住友電設","東P","3555","-125.0(-3.40%)"
"1950","日本電設工業","東P","2144","-46.0(-2.10%)"
"1951","エクシオグループ","東P","1650.5","-21.5(-1.29%)"
"1952","新日本空調","東P","3770","-150.0(-3.83%)"
"1959","九電工","東P","6879.0","-142.0(-2.02%)"
"1960","サンテック","東S","768","-17.0(-2.17%)"
"1961","三機工業","東P","2192","-53.0(-2.36%)"
"1963","日揮ＨＬＤＧ","東P","1551.5","-23.0(-1.46%)"
"1964","中外炉工業","東P","2815","-115.0(-3.92%)"
"1965","テクノ菱和","東S","1782","-109.0(-5.76%)"
"1966","高田工業所","東S","1715","-104.0(-5.72%)"
"1967","ヤマト","東S","994","-10.0(-1.00%)"
"1968","太平電業","東P","4360","-130.0(-2.90%)"
"1969","高砂熱学工業","東P","5050","-160.0(-3.07%)"
"1971","中央ビルト工業","東S","748","+1.0(+0.13%)"
"1972","三晃金属工業","東S","4785","-65.0(-1.34%)"
"1973","ＮＥＣネッツエスアイ","東P","2623","-8.0(-0.30%)"
"1975","朝日工業社","東P","1570","-106.0(-6.32%)"
"1976","明星工業","東P","1212","-51.0(-4.04%)"
"1979","大氣社","東P","4525","-45.0(-0.98%)"
"1980","ダイダン","東P","2695","-169.0(-5.90%)"
"1981","協和日成","東S","1270","-1.0(-0.08%)"
"1982","日比谷総合設備","東P","2814","-89.0(-3.07%)"
"1992","神田通信機","東S","-","- (-%)"
"1994","高橋カーテンウォール工業","東S","603","+2.0(+0.33%)"
"1997","暁飯島工業","東S","1829","-98.0(-5.09%)"
"2001","ニップン","東P","2399","-44.0(-1.80%)"
"2002","日清製粉グループ本社","東P","2025.5","-65.5(-3.13%)"
"2003","日東富士製粉","東S","5080","-90.0(-1.74%)"
"2004","昭和産業","東P","3415","-65.0(-1.87%)"
"2009","鳥越製粉","東S","682","-6.0(-0.87%)"
"2053","中部飼料","東P","1130","-13.0(-1.14%)"
"2055","日和産業","東S","302","-1.0(-0.33%)"
"2060","フィード・ワン","東P","989","-32.0(-3.13%)"
"2107","東洋精糖","東S","2212","-50.0(-2.21%)"
"2108","日本甜菜製糖","東P","1976","-36.0(-1.79%)"
"2109","ＤＭ三井製糖ＨＬＤＧ","東P","2987","-48.0(-1.58%)"
"2112","塩水港精糖","東S","274","-4.0(-1.44%)"
"2114","フジ日本精糖","東S","982","-15.0(-1.50%)"
"2117","ウェルネオシュガー","東P","2190","-26.0(-1.17%)"
"2120","ＬＩＦＵＬＬ","東P","165","-2.0(-1.20%)"
"2121","ＭＩＸＩ","東P","2510","-51.0(-1.99%)"
"2122","インタースペース","東S","940","-15.0(-1.57%)"
"2124","ジェイエイシーリクルートメント","東P","753","-26.0(-3.34%)"
"2127","日本Ｍ＆ＡセンターＨＬＤＧ","東P","874.5","-14.2(-1.60%)"
"2130","メンバーズ","東P","875","-9.0(-1.02%)"
"2134","燦キャピタルマネージメント","東S","17","+0.0(+0.00%)"
"2136","ヒップ","東S","1185","-35.0(-2.87%)"
"2138","クルーズ","東S","800","-12.0(-1.48%)"
"2139","中広","東S","416","+4.0(+0.97%)"
"2146","ＵＴグループ","東P","3470","-90.0(-2.53%)"
"2148","アイティメディア","東P","1789","-22.0(-1.21%)"
"2150","ケアネット","東P","597","-9.0(-1.49%)"
"2152","幼児活動研究会","東S","1349","+0.0(+0.00%)"
"2153","Ｅ・Ｊ　ＨＬＤＧ","東P","1791","-25.0(-1.38%)"
"2154","オープンアップグループ","東P","2031","+1.0(+0.05%)"
"2156","セーラー広告","東S","311","+2.0(+0.65%)"
"2157","コシダカＨＬＤＧ","東P","933","-29.0(-3.01%)"
"2158","ＦＲＯＮＴＥＯ","東G","627","-13.0(-2.03%)"
"2160","ジーエヌアイグループ","東G","2572","-78.0(-2.94%)"
"2162","ｎｍｓ　ＨＬＤＧ","東S","412","-6.0(-1.44%)"
"2163","アルトナー","東P","2120","-40.0(-1.85%)"
"2164","地域新聞社","東G","483","-25.0(-4.92%)"
"2168","パソナグループ","東P","2076","-124.0(-5.64%)"
"2169","ＣＤＳ","東S","1772","-12.0(-0.67%)"
"2170","リンクアンドモチベーション","東P","501","-7.0(-1.38%)"
"2173","博展","東G","571","-18.0(-3.06%)"
"2175","エス・エム・エス","東P","2292.0","+94.5(+4.30%)"
"2179","成学社","東S","750","+0.0(+0.00%)"
"2180","サニーサイドアップグループ","東S","708","-1.0(-0.14%)"
"2181","パーソルＨＬＤＧ","東P","214.4","+1.8(+0.85%)"
"2183","リニカル","東S","403","-10.0(-2.42%)"
"2185","シイエム・シイ","東S","1267","-20.0(-1.55%)"
"2186","ソーバル","東S","980","-3.0(-0.31%)"
"2193","クックパッド","東S","187","-3.0(-1.58%)"
"2195","アミタＨＬＤＧ","東G","622","-16.0(-2.51%)"
"2196","エスクリ","東S","281","-5.0(-1.75%)"
"2198","アイ・ケイ・ケイＨＬＤＧ","東P","806","-5.0(-0.62%)"
"2201","森永製菓","東P","2568.0","-10.0(-0.39%)"
"2204","中村屋","東S","3100","-30.0(-0.96%)"
"2206","江崎グリコ","東P","4210.0","-46.0(-1.08%)"
"2207","名糖産業","東P","1746","-23.0(-1.30%)"
"2208","ブルボン","東S","2335","-33.0(-1.39%)"
"2209","井村屋グループ","東P","2401","-49.0(-2.00%)"
"2211","不二家","東P","2477","-16.0(-0.64%)"
"2212","山崎製パン","東P","3621.0","-200.0(-5.23%)"
"2215","第一屋製パン","東S","663","-18.0(-2.64%)"
"2216","カンロ","東S","2788","-66.0(-2.31%)"
"2217","モロゾフ","東P","3980","-45.0(-1.12%)"
"2220","亀田製菓","東P","4110","-50.0(-1.20%)"
"2221","岩塚製菓","東S","2520","-56.0(-2.17%)"
"2222","寿スピリッツ","東P","1634.0","-50.5(-3.00%)"
"2224","コモ","東S","2870","+0.0(+0.00%)"
"2226","湖池屋","東S","4595","-35.0(-0.76%)"
"2229","カルビー","東P","3575.0","-12.0(-0.33%)"
"2264","森永乳業","東P","3013.0","-63.0(-2.05%)"
"2266","六甲バター","東P","1418","-46.0(-3.14%)"
"2267","ヤクルト本社","東P","3052.0","+94.0(+3.18%)"
"2268","Ｂ―Ｒ　サーティワン　アイス","東S","4005","-5.0(-0.12%)"
"2269","明治ＨＬＤＧ","東P","3383.0","+13.0(+0.39%)"
"2270","雪印メグミルク","東P","2585","-65.0(-2.45%)"
"2281","プリマハム","東P","2254","-11.0(-0.49%)"
"2282","日本ハム","東P","5095.0","-58.0(-1.13%)"
"2286","林兼産業","東S","568","-10.0(-1.73%)"
"2288","丸大食品","東P","1627","-20.0(-1.21%)"
"2291","福留ハム","東S","1471","-4.0(-0.27%)"
"2292","Ｓ　ＦＯＯＤＳ","東P","3135","-275.0(-8.06%)"
"2293","滝沢ハム","東S","3050","-20.0(-0.65%)"
"2294","柿安本店","東P","3160","-20.0(-0.63%)"
"2296","伊藤ハム米久ＨＬＤＧ","東P","4070","-70.0(-1.69%)"
"2300","きょくとう","東S","522","+11.0(+2.15%)"
"2301","学情","東P","1823","+45.0(+2.53%)"
"2303","ドーン","東S","1999","+0.0(+0.00%)"
"2304","ＣＳＳ　ＨＬＤＧ","東S","748","-15.0(-1.97%)"
"2305","スタジオアリス","東P","2007","-3.0(-0.15%)"
"2307","クロスキャット","東P","1306","-46.0(-3.40%)"
"2311","エプコ","東S","835","-18.0(-2.11%)"
"2315","ＣＡＩＣＡ　ＤＩＧＩＴＡＬ","東S","52","+0.0(+0.00%)"
"2317","システナ","東P","263","+4.0(+1.54%)"
"2321","ソフトフロントＨＬＤＧ","東G","82","-4.0(-4.65%)"
"2323","ｆｏｎｆｕｎ","東S","833","-5.0(-0.60%)"
"2325","ＮＪＳ","東P","3095","-5.0(-0.16%)"
"2326","デジタルアーツ","東P","4390","+25.0(+0.57%)"
"2327","日鉄ソリューションズ","東P","5260","-70.0(-1.31%)"
"2329","東北新社","東S","1291","-30.0(-2.27%)"
"2330","フォーサイド","東S","310","-12.0(-3.73%)"
"2331","綜合警備保障","東P","853.8","+0.8(+0.09%)"
"2332","クエスト","東S","1241","-4.0(-0.32%)"
"2334","イオレ","東G","755","-29.0(-3.70%)"
"2335","キューブシステム","東P","1087","-14.0(-1.27%)"
"2337","いちご","東P","433","+9.0(+2.12%)"
"2338","クオンタムソリューションズ","東S","497","-53.0(-9.64%)"
"2340","極楽湯ＨＬＤＧ","東S","403","-4.0(-0.98%)"
"2341","アルバイトタイムス","東S","151","-2.0(-1.31%)"
"2342","トランスジェニック","東G","227","-4.0(-1.73%)"
"2344","平安レイサービス","東S","880","-5.0(-0.56%)"
"2345","クシム","東S","245","-7.0(-2.78%)"
"2349","エヌアイデイ","東S","2380","+219.0(+10.13%)"
"2351","ＡＳＪ","東G","468","-53.0(-10.17%)"
"2353","日本駐車場開発","東P","199","-5.0(-2.45%)"
"2354","ＹＥ　ＤＩＧＩＴＡＬ","東S","682","-14.0(-2.01%)"
"2359","コア","東P","1853","-42.0(-2.22%)"
"2370","メディネット","東G","48","+0.0(+0.00%)"
"2371","カカクコム","東P","1819.5","+20.5(+1.14%)"
"2372","アイロムグループ","東P","1800","-23.0(-1.26%)"
"2373","ケア２１","東S","607","-2.0(-0.33%)"
"2374","セントケアＨＬＤＧ","東P","848","-18.0(-2.08%)"
"2375","ギグワークス","東S","555","-25.0(-4.31%)"
"2376","サイネックス","東S","763","-21.0(-2.68%)"
"2378","ルネサンス","東P","1003","-15.0(-1.47%)"
"2379","ディップ","東P","2615","-113.0(-4.14%)"
"2384","ＳＢＳ　ＨＬＤＧ","東P","2763","-24.0(-0.86%)"
"2385","総医研ＨＬＤＧ","東G","171","-2.0(-1.16%)"
"2388","ウェッジＨＬＤＧ","東G","84","-2.0(-2.33%)"
"2389","デジタルＨＬＤＧ","東P","1097","-42.0(-3.69%)"
"2391","プラネット","東S","1221","-9.0(-0.73%)"
"2393","日本ケアサプライ","東S","1905","-30.0(-1.55%)"
"2395","新日本科学","東P","1466","-13.0(-0.88%)"
"2397","ＤＮＡチップ研究所","東S","1109","-38.0(-3.31%)"
"2404","鉄人化ＨＬＤＧ","東S","398","-7.0(-1.73%)"
"2408","ＫＧ情報","東S","677","-14.0(-2.03%)"
"2410","キャリアデザインセンター","東P","1821","-30.0(-1.62%)"
"2411","ゲンダイエージェンシー","東S","362","-1.0(-0.28%)"
"2412","ベネフィット・ワン","東P","2166.0","+0.0(+0.00%)"
"2413","エムスリー","東P","1928.0","+16.0(+0.84%)"
"2415","ヒューマンＨＬＤＧ","東S","1276","-22.0(-1.69%)"
"2418","ツカダ・グローバルＨＬＤＧ","東S","428","-9.0(-2.06%)"
"2424","ブラス","東S","715","-1.0(-0.14%)"
"2425","ケアサービス","東S","836","-3.0(-0.36%)"
"2427","アウトソーシング","東P","1752.0","+0.5(+0.03%)"
"2428","ウェルネット","東S","555","-2.0(-0.36%)"
"2429","ワールドＨＬＤＧ","東P","2390","-43.0(-1.77%)"
"2432","ディー・エヌ・エー","東P","1520.0","-16.5(-1.07%)"
"2433","博報堂ＤＹ　ＨＬＤＧ","東P","1432.5","+6.5(+0.46%)"
"2435","シダー","東S","247","-5.0(-1.98%)"
"2436","共同ピーアール","東S","744","-27.0(-3.50%)"
"2437","Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ","東S","432","-7.0(-1.59%)"
"2438","アスカネット","東G","659","+10.0(+1.54%)"
"2440","ぐるなび","東P","336","+2.0(+0.60%)"
"2445","タカミヤ","東P","542","-7.0(-1.28%)"
"2449","プラップジャパン","東S","1028","-7.0(-0.68%)"
"2454","オールアバウト","東S","379","-2.0(-0.52%)"
"2459","アウンコンサルティング","東S","181","-10.0(-5.24%)"
"2461","ファンコミュニケーションズ","東P","405","-4.0(-0.98%)"
"2462","ライク","東P","1745","-23.0(-1.30%)"
"2464","Ａｏｂａ−ＢＢＴ","東S","375","-6.0(-1.57%)"
"2468","フュートレック","東S","251","-9.0(-3.46%)"
"2469","ヒビノ","東S","1806","-76.0(-4.04%)"
"2471","エスプール","東P","325","-2.0(-0.61%)"
"2475","ＷＤＢ　ＨＬＤＧ","東P","2190","-59.0(-2.62%)"
"2477","手間いらず","東S","3130","-5.0(-0.16%)"
"2479","ジェイテック","東G","261","-7.0(-2.61%)"
"2480","システム・ロケーション","東S","1352","+6.0(+0.45%)"
"2481","タウンニュース社","東S","805","-4.0(-0.49%)"
"2483","翻訳センター","東S","1933","-11.0(-0.57%)"
"2484","出前館","東S","315","-22.0(-6.53%)"
"2485","ティア","東S","454","-3.0(-0.66%)"
"2487","ＣＤＧ","東S","1287","-19.0(-1.45%)"
"2488","ＪＴＰ","東S","969","-22.0(-2.22%)"
"2489","アドウェイズ","東P","441","-9.0(-2.00%)"
"2491","バリューコマース","東P","1032","-18.0(-1.71%)"
"2492","インフォマート","東P","370","+2.0(+0.54%)"
"2493","イーサポートリンク","東S","991","-7.0(-0.70%)"
"2497","ユナイテッド","東G","859","-10.0(-1.15%)"
"2498","オリエンタルコンサルタンツＨＤ","東S","3150","-20.0(-0.63%)"
"2499","日本和装ＨＬＤＧ","東S","327","-1.0(-0.30%)"
"2501","サッポロＨＬＤＧ","東P","5821.0","-104.0(-1.76%)"
"2502","アサヒグループＨＬＤＧ","東P","5326.0","-142.0(-2.60%)"
"2503","キリンＨＬＤＧ","東P","2193.5","-25.5(-1.15%)"
"2531","宝ＨＬＤＧ","東P","1015.0","-6.0(-0.59%)"
"2533","オエノンＨＬＤＧ","東P","345","-7.0(-1.99%)"
"2540","養命酒製造","東P","2209","+11.0(+0.50%)"
"2573","北海道コカ・コーラボトリング","東S","2620","+5.0(+0.19%)"
"2579","コカ・コーラボトラーズＪＰＨＤ","東P","2204.5","-70.5(-3.10%)"
"2585","ライフドリンク　カンパニー","東P","4900","-200.0(-3.92%)"
"2586","フルッタフルッタ","東G","38","-1.0(-2.56%)"
"2587","サントリー食品インターナショナ","東P","5054.0","-120.0(-2.32%)"
"2588","プレミアムウォーターＨＬＤＧ","東S","2906","-43.0(-1.46%)"
"2590","ダイドーグループＨＬＤＧ","東P","2657","-21.0(-0.78%)"
"2593","伊藤園","東P","3735.0","-28.0(-0.74%)"
"2594","キーコーヒー","東P","1996","-10.0(-0.50%)"
"2597","ユニカフェ","東S","912","-1.0(-0.11%)"
"2599","ジャパンフーズ","東S","1395","-15.0(-1.06%)"
"2602","日清オイリオグループ","東P","5000","-100.0(-1.96%)"
"2607","不二製油グループ本社","東P","2343.5","-29.5(-1.24%)"
"2612","かどや製油","東S","3605","-55.0(-1.50%)"
"2613","Ｊ―オイルミルズ","東P","1956","-36.0(-1.81%)"
"2651","ローソン","東P","10330.0","+0.0(+0.00%)"
"2652","まんだらけ","東S","2750","+17.0(+0.62%)"
"2653","イオン九州","東S","2833","-78.0(-2.68%)"
"2654","アスモ","東S","387","-6.0(-1.53%)"
"2656","ベクターＨＬＤＧ","東S","123","-2.0(-1.60%)"
"2659","サンエー","東P","4870","-50.0(-1.02%)"
"2664","カワチ薬品","東P","2643","-31.0(-1.16%)"
"2666","オートウェーブ","東S","156","-2.0(-1.27%)"
"2667","イメージワン","東S","341","-9.0(-2.57%)"
"2668","タビオ","東S","1187","+2.0(+0.17%)"
"2669","カネ美食品","東S","3140","-20.0(-0.63%)"
"2670","エービーシー・マート","東P","3070.0","-42.0(-1.35%)"
"2673","夢みつけ隊","東S","113","+1.0(+0.89%)"
"2674","ハードオフコーポレーション","東P","1675","-55.0(-3.18%)"
"2676","高千穂交易","東P","3655","-100.0(-2.66%)"
"2678","アスクル","東P","2265","-57.0(-2.45%)"
"2681","ゲオＨＬＤＧ","東P","1900","-71.0(-3.60%)"
"2683","魚喜","東S","1124","-1.0(-0.09%)"
"2685","アダストリア","東P","3340","-15.0(-0.45%)"
"2686","ジーフット","東S","285","+0.0(+0.00%)"
"2687","シー・ヴイ・エス・ベイエリア","東S","577","-6.0(-1.03%)"
"2689","オルバヘルスケアＨＬＤＧ","東S","1990","-30.0(-1.49%)"
"2692","伊藤忠食品","東P","7170","-80.0(-1.10%)"
"2693","ＹＫＴ","東S","277","-7.0(-2.46%)"
"2694","焼肉坂井ＨＬＤＧ","東S","77","-3.0(-3.75%)"
"2695","くら寿司","東P","4940","-320.0(-6.08%)"
"2698","キャンドゥ","東S","2766","-34.0(-1.21%)"
"2700","木徳神糧","東S","5620","-30.0(-0.53%)"
"2702","日本マクドナルドＨＬＤＧ","東S","6980","-40.0(-0.57%)"
"2705","大戸屋ＨＬＤＧ","東S","5020","-80.0(-1.57%)"
"2708","久世","東S","1995","-73.0(-3.53%)"
"2715","エレマテック","東P","1810","-57.0(-3.05%)"
"2721","ジェイＨＬＤＧ","東S","301","-2.0(-0.66%)"
"2722","ＩＫＨＬＤＧ","東S","390","-8.0(-2.01%)"
"2726","パルグループＨＬＤＧ","東P","1888","-21.0(-1.10%)"
"2730","エディオン","東P","1600","-61.0(-3.67%)"
"2733","あらた","東P","3110","-20.0(-0.64%)"
"2734","サーラコーポレーション","東P","793","-15.0(-1.86%)"
"2735","ワッツ","東S","696","-22.0(-3.06%)"
"2736","フェスタリアＨＬＤＧ","東S","1501","-1.0(-0.07%)"
